date,aqi,category,defining_parameter,defining_site,number_of_sites_reporting,five_day_average
2018-07-08,100,Moderate,Ozone,06-083-1021,12,69.4
2018-07-09,62,Moderate,PM2.5,06-083-2011,11,69.0
2018-07-10,58,Moderate,Ozone,06-083-2011,13,70.2
2018-07-11,55,Moderate,PM2.5,06-083-0011,11,68.6
2018-07-12,36,Good,PM2.5,06-083-0011,12,62.2
2018-07-13,34,Good,Ozone,06-083-2011,12,49.0
2018-07-14,37,Good,PM2.5,06-083-2011,12,44.0
2018-07-15,34,Good,PM2.5,06-083-2011,12,39.2
2018-07-16,34,Good,PM2.5,06-083-9000,11,35.0
2018-07-17,38,Good,PM2.5,06-083-2011,12,35.4
2018-07-18,47,Good,Ozone,06-083-1014,12,38.0
2018-07-19,49,Good,Ozone,06-083-3001,13,40.4
2018-07-20,39,Good,PM2.5,06-083-0011,12,41.4
2018-07-21,30,Good,Ozone,06-083-3001,12,40.6
2018-07-22,38,Good,Ozone,06-083-1025,13,40.6
2018-07-23,53,Moderate,PM2.5,06-083-0011,12,41.8
2018-07-24,60,Moderate,PM2.5,06-083-0011,12,44.0
2018-07-25,60,Moderate,PM2.5,06-083-2011,13,48.2
2018-07-26,55,Moderate,PM2.5,06-083-2011,12,53.2
2018-07-27,54,Moderate,PM2.5,06-083-2011,12,56.4
2018-07-28,52,Moderate,PM2.5,06-083-2011,13,56.2
2018-07-29,58,Moderate,Ozone,06-083-1014,12,55.8
2018-07-30,47,Good,Ozone,06-083-1014,12,53.2
2018-07-31,53,Moderate,PM2.5,06-083-9000,13,52.8
2018-08-01,45,Good,Ozone,06-083-1014,11,51.0
2018-08-02,52,Moderate,PM2.5,06-083-2011,11,51.0
2018-08-03,54,Moderate,PM2.5,06-083-1008,12,50.2
2018-08-04,55,Moderate,PM2.5,06-083-1008,12,51.8
2018-08-05,55,Moderate,PM2.5,06-083-2011,12,52.2
2018-08-06,84,Moderate,Ozone,06-083-1025,13,60.0
2018-08-07,80,Moderate,Ozone,06-083-1014,12,65.6
2018-08-08,74,Moderate,Ozone,06-083-1021,12,69.6
2018-08-09,54,Moderate,Ozone,06-083-1014,13,69.4
2018-08-10,54,Moderate,Ozone,06-083-1021,12,69.2
2018-08-11,39,Good,PM2.5,06-083-0011,12,60.2
2018-08-12,52,Moderate,PM2.5,06-083-2011,13,54.6
2018-08-13,47,Good,PM2.5,06-083-2011,12,49.2
2018-08-14,42,Good,PM2.5,06-083-2011,12,46.8
2018-08-15,53,Moderate,PM2.5,06-083-1008,13,46.6
2018-08-16,63,Moderate,PM2.5,06-083-2004,12,51.4
2018-08-17,71,Moderate,PM2.5,06-083-1008,12,55.2
2018-08-18,66,Moderate,PM2.5,06-083-1008,13,59.0
2018-08-19,65,Moderate,PM2.5,06-083-2011,12,63.6
2018-08-20,75,Moderate,PM2.5,06-083-2004,12,68.0
2018-08-21,65,Moderate,PM2.5,06-083-0011,13,68.4
2018-08-22,67,Moderate,PM2.5,06-083-1008,12,67.6
2018-08-23,102,Unhealthy for Sensitive Groups,PM2.5,06-083-2004,12,74.8
2018-08-24,114,Unhealthy for Sensitive Groups,PM2.5,06-083-2004,13,84.6
2018-08-25,81,Moderate,PM2.5,06-083-2011,12,85.8
2018-08-26,65,Moderate,PM2.5,06-083-2011,12,85.8
2018-08-27,59,Moderate,PM2.5,06-083-0011,13,84.2
2018-08-28,53,Moderate,PM2.5,06-083-0011,12,74.4
2018-08-29,48,Good,PM2.5,06-083-0011,12,61.2
2018-08-30,56,Moderate,PM2.5,06-083-2011,13,56.2
2018-08-31,63,Moderate,PM2.5,06-083-2011,12,55.8
2018-09-01,59,Moderate,PM2.5,06-083-2011,12,55.8
2018-09-02,58,Moderate,PM2.5,06-083-2011,13,56.8
2018-09-03,54,Moderate,PM2.5,06-083-2011,12,58.0
2018-09-04,52,Moderate,PM2.5,06-083-1008,12,57.2
2018-09-05,52,Moderate,PM2.5,06-083-2004,13,55.0
2018-09-06,51,Moderate,PM2.5,06-083-1008,12,53.4
2018-09-07,58,Moderate,PM2.5,06-083-1008,12,53.4
2018-09-08,56,Moderate,PM2.5,06-083-0011,13,53.8
2018-09-09,56,Moderate,PM2.5,06-083-2011,12,54.6
2018-09-10,55,Moderate,PM2.5,06-083-0011,12,55.2
2018-09-11,52,Moderate,PM2.5,06-083-2011,12,55.4
2018-09-12,52,Moderate,PM2.5,06-083-0011,12,54.2
2018-09-13,52,Moderate,PM2.5,06-083-2011,12,53.4
2018-09-14,47,Good,PM2.5,06-083-2011,13,51.6
2018-09-15,49,Good,PM2.5,06-083-2011,12,50.4
2018-09-16,46,Good,Ozone,06-083-1025,12,49.2
2018-09-17,48,Good,Ozone,06-083-1025,13,48.4
2018-09-18,49,Good,PM2.5,06-083-2011,12,47.8
2018-09-19,56,Moderate,PM2.5,06-083-2004,12,49.6
2018-09-20,90,Moderate,Ozone,06-083-1013,12,57.8
2018-09-21,67,Moderate,Ozone,06-083-1025,12,62.0
2018-09-22,52,Moderate,PM2.5,06-083-2011,12,62.8
2018-09-23,51,Moderate,PM2.5,06-083-2011,13,63.2
2018-09-24,53,Moderate,PM2.5,06-083-2004,12,62.6
2018-09-25,53,Moderate,PM2.5,06-083-2011,12,55.2
2018-09-26,58,Moderate,PM2.5,06-083-2011,13,53.4
2018-09-27,55,Moderate,PM2.5,06-083-2011,12,54.0
2018-09-28,54,Moderate,PM2.5,06-083-0011,12,54.6
2018-09-29,51,Moderate,PM2.5,06-083-2011,13,54.2
2018-09-30,48,Good,Ozone,06-083-1025,12,53.2
2018-10-01,44,Good,Ozone,06-083-1013,12,50.4
2018-10-02,34,Good,PM2.5,06-083-2011,13,46.2
2018-10-03,27,Good,PM2.5,06-083-2011,12,40.8
2018-10-04,31,Good,Ozone,06-083-1021,12,36.8
2018-10-05,43,Good,Ozone,06-083-1025,13,35.8
2018-10-06,45,Good,PM2.5,06-083-2011,12,36.0
2018-10-07,44,Good,Ozone,06-083-1021,12,38.0
2018-10-08,52,Moderate,PM2.5,06-083-0011,13,43.0
2018-10-09,53,Moderate,PM2.5,06-083-2011,12,47.4
2018-10-10,45,Good,Ozone,06-083-1013,12,47.8
2018-10-11,42,Good,Ozone,06-083-1021,13,47.2
2018-10-12,49,Good,Ozone,06-083-1013,12,48.2
2018-10-13,46,Good,Ozone,06-083-2004,12,47.0
2018-10-14,44,Good,Ozone,06-083-1025,13,45.2
2018-10-15,61,Moderate,Ozone,06-083-1025,12,48.4
2018-10-16,71,Moderate,Ozone,06-083-1025,12,54.2
2018-10-17,71,Moderate,Ozone,06-083-1025,13,58.6
2018-10-18,61,Moderate,Ozone,06-083-1025,12,61.6
2018-10-19,67,Moderate,Ozone,06-083-1025,12,66.2
2018-10-20,74,Moderate,Ozone,06-083-1025,13,68.8
2018-10-21,84,Moderate,Ozone,06-083-1025,12,71.4
2018-10-22,58,Moderate,PM2.5,06-083-0011,12,68.8
2018-10-23,71,Moderate,Ozone,06-083-1025,13,70.8
2018-10-24,77,Moderate,Ozone,06-083-1025,12,72.8
2018-10-25,71,Moderate,Ozone,06-083-1025,12,72.2
2018-10-26,97,Moderate,Ozone,06-083-1025,13,74.8
2018-10-27,87,Moderate,Ozone,06-083-1025,12,80.6
2018-10-28,48,Good,Ozone,06-083-1025,12,76.0
2018-10-29,54,Moderate,PM2.5,06-083-0011,13,71.4
2018-10-30,54,Moderate,Ozone,06-083-1021,12,68.0
2018-10-31,46,Good,Ozone,06-083-4003,11,57.8
2018-11-01,67,Moderate,Ozone,06-083-1013,13,53.8
2018-11-02,51,Moderate,Ozone,06-083-1025,12,54.4
2018-11-03,53,Moderate,PM2.5,06-083-2004,12,54.2
2018-11-04,77,Moderate,Ozone,06-083-1021,13,58.8
2018-11-05,61,Moderate,Ozone,06-083-1021,12,61.8
2018-11-06,58,Moderate,Ozone,06-083-1021,12,60.0
2018-11-07,52,Moderate,PM2.5,06-083-2011,13,60.2
2018-11-08,54,Moderate,Ozone,06-083-1021,12,60.4
2018-11-09,61,Moderate,Ozone,06-083-1013,12,57.2
2018-11-10,58,Moderate,PM2.5,06-083-2004,13,56.6
2018-11-11,71,Moderate,PM2.5,06-083-2004,12,59.2
2018-11-12,57,Moderate,PM2.5,06-083-2004,12,60.2
2018-11-13,48,Good,Ozone,06-083-1013,13,59.0
2018-11-14,50,Good,Ozone,06-083-1013,12,56.8
2018-11-15,47,Good,Ozone,06-083-1013,12,54.6
2018-11-16,88,Moderate,PM2.5,06-083-2004,13,58.0
2018-11-17,90,Moderate,PM2.5,06-083-2004,12,64.6
2018-11-18,88,Moderate,PM2.5,06-083-2004,12,72.6
2018-11-19,76,Moderate,PM2.5,06-083-0011,13,77.8
2018-11-20,63,Moderate,PM2.5,06-083-0011,12,81.0
2018-11-21,55,Moderate,PM2.5,06-083-0011,12,74.4
2018-11-22,38,Good,Ozone,06-083-4003,13,64.0
2018-11-23,35,Good,Ozone,06-083-4003,12,53.4
2018-11-24,37,Good,Ozone,06-083-1021,12,45.6
2018-11-25,40,Good,Ozone,06-083-1025,13,41.0
2018-11-26,43,Good,Ozone,06-083-1025,12,38.6
2018-11-27,38,Good,Ozone,06-083-1025,12,38.6
2018-11-28,35,Good,Ozone,06-083-4003,13,38.6
2018-11-29,40,Good,Ozone,06-083-1013,12,39.2
2018-11-30,41,Good,PM2.5,06-083-1008,12,39.4
2018-12-01,41,Good,Ozone,06-083-1013,13,39.0
2018-12-02,37,Good,Ozone,06-083-1013,11,38.8
2018-12-03,42,Good,Ozone,06-083-1025,11,40.2
2018-12-04,43,Good,Ozone,06-083-1013,13,40.8
2018-12-05,41,Good,Ozone,06-083-1013,12,40.8
2018-12-06,33,Good,Ozone,06-083-1025,12,39.2
2018-12-07,35,Good,Ozone,06-083-1025,13,38.8
2018-12-08,38,Good,Ozone,06-083-1025,12,38.0
2018-12-09,38,Good,PM2.5,06-083-0011,12,37.0
2018-12-10,39,Good,PM2.5,06-083-2004,13,36.6
2018-12-11,43,Good,PM2.5,06-083-0011,12,38.6
2018-12-12,57,Moderate,PM2.5,06-083-0011,12,43.0
2018-12-13,48,Good,PM2.5,06-083-0011,13,45.0
2018-12-14,41,Good,PM2.5,06-083-0011,12,45.6
2018-12-15,52,Moderate,PM2.5,06-083-0011,12,48.2
2018-12-16,40,Good,PM2.5,06-083-0011,13,47.6
2018-12-17,38,Good,PM2.5,06-083-2004,12,43.8
2018-12-18,43,Good,PM10,06-083-4003,12,42.8
2018-12-19,56,Moderate,PM10,06-083-4003,12,45.8
2018-12-20,38,Good,Ozone,06-083-1025,12,43.0
2018-12-21,51,Moderate,PM2.5,06-083-0011,12,45.2
2018-12-22,50,Good,PM2.5,06-083-0011,13,47.6
2018-12-23,52,Moderate,PM2.5,06-083-0011,12,49.4
2018-12-24,41,Good,Ozone,06-083-1013,11,46.4
2018-12-25,41,Good,Ozone,06-083-1013,12,47.0
2018-12-26,35,Good,Ozone,06-083-1025,12,43.8
2018-12-27,37,Good,Ozone,06-083-1025,11,41.2
2018-12-28,39,Good,Ozone,06-083-1021,12,38.6
2018-12-29,39,Good,Ozone,06-083-1021,12,38.2
2018-12-30,41,Good,PM2.5,06-083-1008,12,38.2
2018-12-31,38,Good,Ozone,06-083-2004,12,38.8
